Trailer,Owner,VIN #,License #,Length,Year,Manufacturer,Reg Date
53607,,1UYVS2532WP392530,TGE35R,53,98,UTI,12-Mar
53574,,1UYVS2532VP064247,TCB28H,53,97,UTI,12-Mar
53569,,1UYVS2533VP064242,TCB48G,53,97,UTI,13-Mar
53568,,1UYVS2531VP064241,TCB49G,53,97,UTI,13-Mar
53567,,1UYVS253XVP064240,TCJ90Z,53,97,UTI,13-Mar
53565,,1KKVA5323LL087107,TAR11L,53,90,KEM,12-Mar
53562,,1UYVS2536VP064235,TCB29H,53,97,UTI,13-Mar
53557,,1UYVS2537VP064230,TCJ89Z,53,97,UTI,
53547,,1UYVS2534VP064220,TCJ88Z,53,97,UTI,14-Mar
53544,,1UYVS2534VP064217,TCB30H,53,97,UTI,13-Mar
53543,,1UYVS2532VP064216,TFB64M,53,97,UTI,13-Mar
53538,,1UYVS2533VP064211,TCJ91Z,53,97,UTI,14-Mar
53536,,1UYVS2535VP064209,TCB27H,53,97,UTI,13-Mar
53532,,1UYVS2538VP064205,TCB47G,53,97,UTI,13-Mar
53531,,1UYVS2536VP064204,TCB25H,53,97,UTI,13-Mar
53529,,1UYVS2532VP064202,TCB26H,53,97,UTI,13-Mar
53528,,1PNR532N2NGB73109,THG54P,53,92,PIN,14-Mar
53452,,1DW1A5322PS793659,TBD44V,53,93,STG,13-Mar
53449,,1DW1A5323PS793640,TAR98J,53,93,STO,12-Mar
53372,,1GRAA0624PB064010,TEF57L,53,93,GD,19-Mar
533705,,1GRAA062XPB064013,TCJ87Z,53,93,GD,14-Mar
53340,,1DTV11525PA212729,TAR10L,53,93,DOR,12-Mar
53334,,2DTV11524PA212723,TAR47L,53,93,DRS,12-Mar
53309,,1VVV53201G1006790,TFB69M,53,86,VAN,19-Mar
53305,,1H2V04824JH000628,TEF60L,53,88,FRF,19-Mar
53303,,1H2V04807EB018614,TEF58L,53,84,FRU,19-Mar
53291,,1DW1A5328VS131632,THG55P,53,97,STO,14-Mar
532252,,1L01A5325T1122252,TFL36V,53,96,LUF,12-Mar
532102,,1H2V04826JH028611,T52T1R,53,88,FRU,14-Mar
532073,,1S12E9485GD283202,T60N9D,53,86,STR,13-Mar
532072,,1S12E9483GD283201,T51T1R,53,86,STRICK,14-Mar
532038,,1PYTO1JAH5T6008524,TEF49L,53,96,TRI,15-Mar
532037,,1PYO1JAH3T6008523,TEF57P,53,96,TRI,19-Mar
532020,,2M592161XT1041542,TEF48L,53,96,MAN,19-Mar
532013,,2M5921612T1041535,TEF51L,53,96,MAN,19-Mar
531955,,1JJV532U5TL325441,TEF55L,53,96,WAB,19-Mar
53154,NPS,,,,,,
531310,,1UYVS253XWP392534,TGE41R,53,88,UTI,12-Mar
531299,,1H2V04825JH000508,T61N9D,53,88,FRU,13-Mar
531281,,1H12V04825JH000508,T50T1R,53,88,FRU,14-Mar
531270,,1H2V04822JH000479,TFB65M,53,88,FRU,13-Mar
531207,,1H2VO4820JH000416,T59N9D,53,88,FRU,13-Mar
5309,,1PTO1AAH5N9012722,T10S2M,53,92,TRA,14-Mar
5306,,1PT01AAH7N9012723,T98S2L,53,92,TRA,14-Mar
5305,,1PT01AAH8N9012712,T12S2M,53,92,TRA,14-Mar
53012,,1GRAA0624NS077336,TEF69R,53,92,GTD,19-Mar
53011,,1PT02DAH4K9006257,TCJ86Z,53,89,TRI,14-Mar
5301,,1PT01AAH3N9012718,T99S2L,53,92,TRA,14-Mar
5300,,1NNVF4829FM091600,MAINE 1026430,48,85,MONN,
5009,,11NNVF4824FM091309,T201ZL,48,85,MON,14-Mar
499,,2MEY535237,T91K8S,45,77,FRU,
498,,1H2V04822FH055165,T20M9M,48,85,FRU,13-Mar
495,,1H2V04821FH055156,T21M9M,47,85,FRU,13-Mar
494989,,1S12E8486KD306425,T69A1H,53,89,STR,13-Mar
492,,1H2V04822FH055134,T22M9M,48,85,FRU,13-Mar
4859,,1VVV48200E1002372,T25G3J,48,84,VAN,19-Mar
4850,,1H2V04829HH034820,T87G3M,48,87,FRU,19-Mar
4842,,11NNVF4825FM091142,T202ZL,48,85,MON,
483421,,1JJV482Y9SL290484,TGX88Z,48,95,WAB,17-Mar
483328,,1JJV482Y2SL290391,TGX87Z,48,95,WAB,
483221,,1JJV482Y1SL290284,TKX72X,48,48,WAB,16-Mar
482796,,1S12E9488EE265154,TKX68X,48,48,STR,16-Mar
48239,,1NNVF4827EM081940,T52D7K,48,84,MON,
48236,,1NNVF4827EM081937,T51D7K,48,84,MON,
48234,,1NNVF4823EM081935,T47D7K,48,84,MON,
48232,,1NNVF482XEM081933,T46D7K,48,84,MON,
482279,,1JJV482Y4SL290442,TGX89Z,48,95,WAB,13-Mar
4821,,41XV10W923GE001286,T7K582,48,86,THA,13-Mar
4820,,41S12E9482ED258528,T7K881,48,84,STRICK,13-Mar
482,,R695755C,276TVU,45,69,BROWN,
48196,,1NNVF482XEM081897,T48D7K,48,84,MON,
48194,,1NNVF4826EM081895,T49D7K,48,84,MON,
48193,,1NNVF4824EM081894,T50D7K,48,84,MON,
4819,,51S12E948XED258518,T7K880,48,84,STRICK,13-Mar
4818,,1XV10W92XGE001270,T7K583,48,86,THA,13-Mar
4817,,1XV10W920GE001293,T7K584,48,86,THA,13-Mar
48167,,1NNVF4823EM081868,T44D7K,48,84,MON,
4816,,1IVVV48205G1006517,TEF56L,48,86,VAN,19-Mar
48117,,1JJV482TOKL124245,TAR48L,48,89,WAB,12-Mar
48114,,1NNVF4824EM081815,T45D7K,48,84,MON,
481068,,1S12E8484LE329343,TKX73X,48,90,STR,16-Mar
48040,,1S12E8488LD329268,TKX71X,48,90,STR,16-Mar
48036,,1S12E8487JD295434,TKX74X,48,88,STR,16-Mar
4803,,1GRAA9621PB181127,T31T1P,48,93,GD,14-Mar
4802,,1PT02DAH7K9005829,T32T1P,48,89,TRA,14-Mar
48019,,1S12E8486LD329298,TKX70X,48,90,STR,16-Mar
4801,,1H2V04820KH045924,T30T1P,48,89,FRU,14-Mar
48008,,1S12E8480LE329419,TKX69X,48,90,STR,16-Mar
480,,R695753C,494TAK,48,0,,
479,,R695752C,T849BF,R48,69,BROWN,13-Mar
478,,R695751C,T64K8M,R48,69,BROWN,9-Mar
477,,2MEY535327,T91K8S,45,0,,
473,,R695749C,T7K875,45,69,BROWN,9-Mar
4702,,1H2V04822EB006629,T7K865,48,84,FRU,9-Mar
4700,,11H2V04826EB006634,T7K860,48,84,FRU,14-Mar
4639,,170728,T55T1R,45,73,STRICK,14-Mar
4636,,170662,T53T1R,45,73,STRICK,14-Mar
4633,,170632,T54T1R,45,73,STRICK,14-Mar
4614,,184222,T56T1R,45,74,STRICK,14-Mar
456720,,232651,T19C7K,45,80,STR,14-Mar
456695,,232595,T21C7K,45,80,STR,14-Mar
456675,,242711,T23C7K,45,79,STR,14-Mar
456662,,242725,T17C7K,45,79,STR,14-Mar
456608,,244928,T49C7L,45,80,STRICK,
456599,,242719,T16C7K,45,79,STR,14-Mar
456526,,241582,T47C7L,45,79,STRICK,
456524,,95244855,T50C7L,48,,WAN,18-Mar
456523,,245477,,45,,STRICK,
456489,,243439,,45,79,STR,14-Mar
453,,7450S33NSW164709,T232GP,45,73,STRICK,9-Mar
45105,,J64339,T7K864,45,72,TRA,9-Mar
45104,,J64312,T7K863,45,72,TRA,9-Mar
45103,,J64392,T7K862,45,72,TRA,9-Mar
45100,,J64389,,45,0,TRA,
448,,1H2V04826LH008491,TLS65N,48,90,FRU,17-Mar
411,,164684,T229GP,45,73,STRICK,
376991,,1JJV48SU9SL237796,TGX86Z,48,95,WAN,13-Mar
34980,,1JJV532Y6SL253716,TFB68M,53,95,WAB,19-Mar
348,,1GRAAO620TB096124,TLG72B,48,96,FRU,13-Mar
3465,,1H2V04827LB015517,T33M4P,48,90,FRU,13-Mar
336,,2158136,T89K8S,45,73,STR,10-Mar
316,,164680,T226GP,45,73,STRICK,9-Mar
307,,A158107,T92K8S,45,73,STR,8-Mar
3067,,1H2V04822HE017701,T9E381,53,87,FRU,13-Mar
3066,,1H2V04829HE017713,TEF59P,48,87,FRU,13-Mar
3062,,1H2V0482XHE017705,T9Z864,48,87,FRU,
3058,,1H2V04828HE017721,T9Z862,48,87,FRU,13-Mar
3057,,1H2V04826HE017720,T21A5D,48,87,FRU,13-Mar
3055,,1H2V04827HE017712,T34A1J,48,87,FRU,13-Mar
3051,,1H2V04825HE017708,T9Z863,48,87,FRU,13-Mar
3050,,1H2V04828HE017718,T35A1J,48,87,FRU,13-Mar
30,,4GIN4584869,T1P133,45,69,GIN,
29934,,11H5V04828DMO13932,T2V204,48,83,HOB,
29,RSD,4GIN4584769,T1P134,45,69,GIN,
282242,,1H2V04825DB007143,T7K554,48,83,FRU,13-Mar
282227,,1H2V04829DB007128,T7K861,48,83,FRU,13-Mar
28,RSD,4GIN45845659,T1P130,45,69,GIN,
278063,,1H2V04824SE001491,TGX83Z,48,95,FRU,13-Mar
277992,,1H2V04923SE001420,TGX85Z,48,95,FRU,13-Mar
277831,,1S12E9482JD295833,T34M4P,48,88,STR,14-Mar
263,,164664,T233GP,45,73,STRICK,9-Mar
26,RSD,3GIN4584368,T1P128,45,68,GIN,
254423,,1H5V0532XLM044546,T11S2M,53,90,FRU,13-Mar
253,,1PYTO1JAH5T6008524,TEF49L,53,96,TRI,19-Mar
248,,87 1H2V0482XHE017705,T9Z864,48,87,FRU,17-Mar
239883,,1L01A482XK1083854,TGE22S,48,89,LUF,13-Mar
234673,,,,,,,
23,RSD,4GIN4584969,T38S2L,45,69,GIN,
221157,,STR13005270,T456KU,46,70,STRICK,
218111,,2158189,T90K8S,45,73,STR,12-Mar
218109,,1S12E8455SD403623,TLG71B,47,95,STRICK,16-Mar
218106,,,,,,,
218090,,1S12E8451SD403604,TLG70B,47,95,STRICK,6-Mar
218072,,1S12E8453SD403586,TLG69B,47,95,STRICK,16-Mar
20,RSD,71333,T448KU,45,66,STR,
2,RSD,4GIN4585269,T1P132,45,69,GIN,
168,,164689,T230GP,45,73,STRICK,9-Mar
15,RSD,7450S33NSW164693,T228GP,45,73,STRICK,
140,,2MEZ557597,T65K8M,45,78,FRU,8-Mar
1396,,192305,MAINE 1026428,45,74,STR,
1385,,R695743C,488TAK,45,69,BROWN,
138,,,,,,,
1370,,192290,MAINE 1026427,45,0,,
12292,,2158438M,T1P108,45,78,BUD,
12288,,2158433M,T1P110,45,78,BUD,
12287,,2158432M,T1B519,45,78,BUD,19-Mar
12283,,1158426M,T1P105,45,78,BUD,19-Mar
12275,,3158417M,T87K8S,45,78,BUD,12-Mar
12270,,1158412M,T1P109,45,78,BUD,19-Mar
12265,,3158406M,T33A5G,45,78,BUD,14-Mar
12264,,2158405M,T1P106,45,78,BUD,19-Mar
12262,,3158402M,T32A5G,45,78,BUD,10-Mar
12251,,2158386M,T1P111,45,78,BUD,19-Mar
12249,,2158384M,T1P107,45,78,BUD,19-Mar
12243,,3158377M,T34A5G,45,78,BUD,10-Mar
1,RSD,2GIN4594469,T1P131,45,69,GIN,
300,,1VVV48200G1006862,T85G3H,48,86,VAN,19-Mar
